year,male,female,total population percentage with degree,tuition prices(public),tuition prices (private),PSS score(less than 25 years),,,changemalepop,changefemalepop,changetotalpop,changetuitionpub,changetuitionpriv,changepss
1983,23,15.1,38.1,,,14.54,,,,,,,,
1984,22.9,15.7,38.6,,,,,,-0.434782609,3.973509934,1.312335958,,,
1985,23.1,16,39.1,7964,19812,,,,0.873362445,1.910828025,1.295336788,,,
1986,23.2,16.1,39.3,,,,,,0.432900433,0.625,0.511508951,,,
1987,23.6,16.5,40.1,,,,,,1.724137931,2.48447205,2.03562341,,,
1988,24,17,41,,,,,,1.694915254,3.03030303,2.244389027,,,
1989,24.5,18.1,42.6,,,,,,2.083333333,6.470588235,3.902439024,,,
1990,24.4,18.4,42.8,,,,,,-0.408163265,1.657458564,0.469483568,,,
1991,24.3,18.8,43.1,,,,,,-0.409836066,2.173913043,0.700934579,,,
1992,24.3,18.6,42.9,,,,,,0,-1.063829787,-0.464037123,,,
1993,24.8,19.2,44,,,,,,2.057613169,3.225806452,2.564102564,,,
1994,25.1,19.6,44.7,,,,,,1.209677419,2.083333333,1.590909091,,,
1995,26,20.2,46.2,9825,27027,,,,3.585657371,3.06122449,3.355704698,23.36765445,36.41732283,
1996,26,21.4,47.4,,,,,,0,5.940594059,2.597402597,,,
1997,26.2,21.7,47.9,,,,,,0.769230769,1.401869159,1.054852321,,,
1998,26.5,22.4,48.9,,,,,,1.145038168,3.225806452,2.087682672,,,
1999,27.5,23.1,50.6,,,,,,3.773584906,3.125,3.476482618,,,
2000,27.8,23.6,51.4,,,,,,1.090909091,2.164502165,1.581027668,,,
2001,28.2,24.3,52.5,10514,29621,,,,1.438848921,2.966101695,2.140077821,,,
2002,28.5,25.1,53.6,10924,30522,,,,1.063829787,3.29218107,2.095238095,3.899562488,3.041760913,
2003,28.9,25.7,54.6,11328,31101,,,,1.403508772,2.390438247,1.865671642,3.698279019,1.896992333,
2004,29.4,26.1,55.5,12057,32109,,,,1.730103806,1.556420233,1.648351648,6.435381356,3.241053342,
2005,28.9,26.5,55.4,12487,32680,,,,-1.700680272,1.53256705,-0.18018018,3.566392967,1.778317606,
2006,29.2,26.9,56.1,12748,32812,18.64,,,1.038062284,1.509433962,1.263537906,2.090173781,0.403916769,28.19807428
2007,29.5,28,57.5,13134,33805,,,,1.02739726,4.089219331,2.495543672,3.027925949,3.02633183,
2008,30.1,28.8,58.9,13265,34120,,,,2.033898305,2.857142857,2.434782609,0.997411299,0.93181482,
2009,30.1,29.1,59.2,13855,34822,16.78,,,0,1.041666667,0.509337861,4.447794949,2.057444314,-9.978540773
2010,30.3,29.6,59.9,14353,35089,,,,0.664451827,1.718213058,1.182432432,3.594370263,0.766756648,
2011,30.8,30.1,60.9,14889,34985,,,,1.650165017,1.689189189,1.669449082,3.734410925,-0.296389182,
2012,31.4,30.6,62,15311,35251,,,,1.948051948,1.661129568,1.806239737,2.834307207,0.760325854,
2013,32,31.4,63.4,15755,36168,,,,1.910828025,2.614379085,2.258064516,2.899875906,2.601344643,
2014,31.9,32,63.9,16140,37173,,,,-0.3125,1.910828025,0.788643533,2.443668677,2.778699403,
2015,32.3,32.7,65,16597,38367,,,,1.253918495,2.1875,1.72143975,2.831474597,3.212008716,
2016,33.2,33.7,66.9,17075,39734,30.87,,,2.786377709,3.058103976,2.923076923,2.880038561,3.56295775,83.96901073
2017,33.7,34.6,68.3,17237,40925,,,,1.506024096,2.670623145,2.092675635,0.94875549,2.997432929,
2018,34.6,35.3,69.9,,,,,,2.670623145,2.023121387,2.342606149,,,
